Name,Studio,Genre,Score,Ranked,Popularity,Members
Eve no Jikan (Movie),Studio Rikka,Sci-Fi,8.0,576,118163,1543
Hibike! Euphonium,Kyoto Animation,Drama,8.0,577,412458,452
Kakushigoto (TV),Ajia-Do,Comedy,8.0,578,290273,686
Kimi ni Todoke,Production I.G,Drama,8.0,579,817095,170
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,Production I.G,Action,8.0,580,27792,3665
Love Live! Superstar!!,Sunrise,Slice of Life,8.0,581,54042,2579
Code Geass: Hangyaku no Lelouch III - Oudou,Sunrise,Action,7.99,582,82239,2021
Durarara!!x2 Shou,Shuka,Action,7.99,583,448920,414
High Score Girl II,J.C.Staff,Comedy,7.99,584,118992,1532
High Score Girl: Extra Stage,J.C.Staff,Comedy,7.99,585,65981,2300
Kimi ni Todoke 2nd Season,Production I.G,Drama,7.99,586,410699,455
Kobayashi-san Chi no Maid Dragon,Kyoto Animation,Fantasy,7.99,587,1099459,105
Koukaku Kidoutai 2.0,Production I.G,Action,7.99,588,84038,1994
Major Movie: Yuujou no Winning Shot,Xebec,Action,7.99,589,19190,4338
Mushoku Tensei: Isekai Ittara Honki Dasu Special,Studio Bind,Drama,7.99,590,95568,1819
Ookiku Furikabutte: Natsu no Taikai-hen,A-1 Pictures,Comedy,7.99,591,41740,2963
ReLIFE,TMS Entertainment,Drama,7.99,592,921417,142
Wan Sheng Jie 2,add some,Comedy,7.99,593,7380,6389
xxxHOLiC,Production I.G,Comedy,7.99,594,291960,681
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,Studio Deen,Drama,7.98,595,78837,2064
Sakasama no Patema,Studio Rikka,Adventure,7.98,596,263561,763
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,J.C.Staff,Gourmet,7.98,597,643087,260
Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,M.S.C,Sports,7.98,598,33950,3328
Wan Sheng Jie,add some,Comedy,7.98,599,15473,4741
Working!!!,A-1 Pictures,Comedy,7.98,600,229688,867
Akagami no Shirayuki-hime 2nd Season,Bones,Drama,7.98,601,322215,602
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,Hal Film Maker,Comedy,7.98,602,20156,4224
Douluo Dalu: Shan Yu Yu Lai,Sparkly Key Animation Studio,Action,7.98,603,4722,7646
Durarara!!x2 Ten,Shuka,Action,7.98,604,366697,510
Azumanga Daioh,J.C.Staff,Comedy,7.97,605,301743,654
Haibane Renmei,Radix,Drama,7.97,606,252330,795
Haikyuu!! Movie 1: Owari to Hajimari,Production I.G,Sports,7.97,607,84050,1995
Hyouge Mono,Bee Train,Adult Cast,7.97,608,25601,3811
IDOLiSH7 Vibrato,TROYCA,Drama,7.97,609,12973,5091
Mahou Shoujo Lyrical Nanoha A's,Seven Arcs,Action,7.97,610,61482,2397
Naruto,Pierrot,Action,7.97,611,2516414,8
Promare,Trigger,Action,7.97,612,242536,822
Saint Seiya: The Lost Canvas - Meiou Shinwa,TMS Entertainment,Action,7.97,613,98998,1782
Youjo Senki,Nut,Action,7.97,614,793057,180
Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,MAPPA,Sports,7.97,615,74774,2122
Mawaru Penguindrum,Brain's Base,Avant Garde,7.96,616,280531,712
Noragami,Bones,Action,7.96,617,1953370,22
One Piece Film: Strong World Episode 0,Toei Animation,Adventure,7.96,618,76307,2095
Osomatsu-san,Pierrot,Comedy,7.96,619,161036,1226
Phantom: Requiem for the Phantom,Bee Train,Action,7.96,620,311848,624
Quanzhi Gaoshou 2,Colored Pencil Animation,Action,7.96,621,102941,1741
Tekkon Kinkreet,Studio 4°C,Action,7.96,622,101311,1758
Dragon Ball,Toei Animation,Adventure,7.96,623,920222,143
Girls & Panzer: Saishuushou Part 1,Actas,Military,7.96,624,40724,3014
Hokuto no Ken,Toei Animation,Action,7.96,625,118832,1535
Kanon (2006),Kyoto Animation,Drama,7.96,626,255931,784
Kingdom,Pierrot,Action,7.96,627,183535,1076
Kobato.,Madhouse,Comedy,7.96,628,156531,1256
Macross F Movie 2: Sayonara no Tsubasa,Satelight,Action,7.96,629,25794,3798
Macross: Do You Remember Love?,Artland,Action,7.96,630,42701,2931
Douluo Dalu: Chongfan Haotian,Sparkly Key Animation Studio,Action,7.95,631,3937,8174
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,SILVER LINK.,Action,7.95,632,84662,1983
Hikaru no Go: Hokuto Hai e no Michi,Pierrot,Strategy Game,7.95,633,22495,4043
Kidou Keisatsu Patlabor 2 the Movie,Production I.G,Drama,7.95,634,31277,3438
Kindaichi Shounen no Jikenbo,Toei Animation,Mystery,7.95,635,26845,3722
Kokoro Connect: Michi Random,SILVER LINK.,Drama,7.95,636,245331,811
Kurenai no Buta,Studio Ghibli,Action,7.95,637,214008,932
Nurarihyon no Mago: Sennen Makyou,Studio Deen,Action,7.95,638,152730,1282
Takarajima,Madhouse,Adventure,7.95,639,17710,4494
Usagi Drop Specials,Production I.G,Slice of Life,7.95,640,66559,2287
Wotaku ni Koi wa Muzukashii,A-1 Pictures,Romance,7.95,641,833052,167
Yowamushi Pedal,TMS Entertainment,Comedy,7.95,642,213739,933
Mobile Suit Gundam 0080: War in the Pocket,Sunrise,Drama,7.94,643,51842,2628
Mobile Suit Gundam Thunderbolt,Sunrise,Action,7.94,644,48372,2734
Mobile Suit Gundam Thunderbolt: December Sky,Sunrise,Action,7.94,645,19711,4273
Nekomonogatari: Kuro,Shaft,Comedy,7.94,646,509669,354
Non Non Biyori,SILVER LINK.,Slice of Life,7.94,647,389577,481
Trigun: Badlands Rumble,Madhouse,Action,7.94,648,126780,1463
Wotaku ni Koi wa Muzukashii OVA,A-1 Pictures,Romance,7.94,649,169126,1183
xxxHOLiC Movie: Manatsu no Yoru no Yume,Production I.G,Comedy,7.94,650,61803,2387
Boku no Hero Academia 4th Season,Bones,Action,7.94,651,1477517,57
